-0.04,0.03,0.99
-0.04,0.04,0.98
-0.03,0.04,0.98
-0.02,0.04,0.99
-0.01,0.05,0.99
0.00,0.05,1.00
0.06,0.06,1.00
0.11,0.08,0.99
0.06,0.11,0.91
-0.16,0.12,0.80
-0.50,0.18,0.67
-0.84,0.17,0.58
-0.99,-0.01,0.68
-0.61,-0.55,1.56
0.34,-0.83,1.93
0.77,-0.89,2.05
1.34,-0.76,2.05
1.47,-0.62,1.63
1.35,-0.49,1.11
1.36,-0.27,0.64
1.04,-0.20,0.40
0.69,-0.12,0.12
0.35,-0.01,-0.24
0.09,0.13,-0.40
-0.03,0.26,-0.44
-0.31,0.05,-0.24
-0.85,0.01,-0.02
-1.02,0.09,0.02
-1.22,-0.21,0.30
-1.10,-0.04,0.73
-0.92,-0.18,1.57
-0.73,-0.38,1.88
-0.34,-0.23,1.81
0.08,-0.37,1.78
0.49,-0.59,1.97
0.93,-0.51,1.71
0.70,-0.41,1.33
0.50,-0.31,1.12
0.51,-0.23,0.94
0.42,-0.15,0.79
0.33,-0.11,0.74
0.15,-0.11,0.72
0.06,-0.06,0.64
-0.01,0.01,0.58
0.09,0.02,0.76
0.05,-0.00,0.85
-0.05,0.03,0.90
-0.13,0.03,1.01
-0.14,0.01,1.10
-0.05,-0.01,1.15
