-0.11,-0.08,1.04
-0.11,-0.08,1.05
-0.06,-0.04,0.98
-0.05,-0.03,0.95
-0.04,-0.02,0.94
-0.03,-0.01,0.90
-0.12,0.01,0.86
-0.29,0.13,0.74
-0.54,0.12,0.70
-0.71,0.06,0.75
-0.76,-0.15,1.16
-0.48,-0.64,1.49
0.00,-1.06,1.52
0.56,-1.41,2.05
1.01,-1.24,2.05
1.20,-1.01,1.49
1.34,-0.73,1.12
1.20,-0.45,0.81
1.17,-0.19,0.45
1.00,-0.06,0.21
0.76,-0.02,0.08
0.56,-0.01,-0.06
0.22,-0.02,-0.11
0.05,0.05,-0.11
-0.18,0.09,-0.13
-0.46,0.09,-0.10
-0.61,0.17,-0.05
-0.76,0.23,-0.01
-1.09,0.20,-0.05
-1.28,0.22,0.14
-1.04,0.16,0.67
-1.28,0.05,0.69
-1.27,-0.16,0.99
-1.00,-0.47,1.77
-0.57,-0.50,1.96
0.09,-0.47,1.79
0.85,-0.70,1.75
0.75,-0.76,1.87
0.51,-0.67,1.43
0.52,-0.43,1.17
0.46,-0.28,0.95
0.31,-0.22,0.84
0.31,-0.11,0.74
0.16,-0.07,0.72
0.05,-0.08,0.80
0.06,-0.02,0.75
0.00,0.03,0.76
-0.09,0.00,0.90
-0.07,-0.01,0.95
-0.07,-0.01,0.93
