-0.03,-0.11,0.96
-0.03,-0.11,0.96
-0.04,-0.12,0.97
-0.04,-0.12,0.96
-0.02,-0.12,0.95
-0.03,-0.11,0.94
-0.04,-0.11,0.93
-0.06,-0.10,0.91
-0.09,-0.11,0.90
-0.40,0.03,0.87
-1.15,-0.07,1.30
-0.84,-0.55,2.05
-0.28,-0.70,2.05
0.34,-0.99,2.05
1.05,-1.06,2.05
1.13,-0.96,1.37
1.16,-0.75,0.64
1.15,-0.42,0.02
1.09,-0.12,-0.42
0.78,0.06,-0.65
0.33,0.15,-0.86
-0.08,0.23,-0.89
-0.45,0.29,-0.64
-0.80,0.46,-0.46
-1.02,0.38,0.23
-1.05,-0.21,1.09
-0.68,-0.40,1.40
-0.19,-0.39,1.94
-0.04,-0.39,2.05
0.20,-0.51,2.05
0.59,-0.62,2.05
0.76,-0.54,2.03
0.75,-0.44,1.68
0.61,-0.37,1.19
0.49,-0.24,0.73
0.35,-0.05,0.48
0.09,0.10,0.13
0.06,0.11,-0.15
-0.12,0.23,-0.25
-0.31,0.46,-0.30
-0.39,0.35,-0.50
-0.56,0.35,-0.30
-0.88,0.24,-0.18
-1.16,-0.04,0.18
-0.95,-0.25,0.98
-0.64,-0.52,1.45
-0.69,-0.68,1.59
-0.24,-0.52,1.82
-0.03,-0.55,2.05
0.14,-0.43,1.93
