-0.13,-0.15,0.99
-0.15,-0.17,1.00
-0.11,-0.15,0.96
-0.06,-0.13,0.92
-0.06,-0.13,0.92
-0.04,-0.10,0.86
0.01,-0.10,0.83
0.15,-0.09,0.80
0.45,-0.06,0.76
0.61,-0.15,0.79
0.68,-0.42,0.95
0.23,-0.82,1.17
-0.30,-1.27,1.30
-0.66,-1.63,1.50
-0.71,-1.57,1.42
-0.84,-1.27,0.90
-1.05,-0.96,0.64
-1.16,-0.81,0.54
-1.10,-0.70,0.41
-1.17,-0.46,0.10
-1.11,-0.24,0.10
-0.72,-0.12,0.06
-0.52,-0.06,-0.02
-0.39,0.01,-0.00
-0.15,0.03,-0.12
0.10,0.03,-0.13
0.30,-0.04,0.04
0.36,-0.10,0.11
1.01,-0.11,0.06
1.23,-0.15,0.25
0.97,-0.43,0.62
1.21,-0.41,0.61
1.10,-0.37,0.69
1.17,-0.73,0.97
1.09,-0.66,1.19
0.71,-0.68,1.30
0.40,-0.98,1.31
0.19,-0.92,1.34
-0.16,-0.74,1.30
-0.32,-0.70,1.16
-0.53,-0.44,1.09
-0.55,-0.49,1.07
-0.38,-0.46,0.93
-0.37,-0.35,0.81
-0.43,-0.30,0.73
-0.33,-0.23,0.69
-0.24,-0.24,0.71
-0.22,-0.27,0.74
-0.18,-0.29,0.82
-0.15,-0.30,0.87
