-0.04,-0.12,0.96
-0.03,-0.13,0.96
-0.02,-0.15,0.99
-0.01,-0.13,0.96
-0.01,-0.13,0.95
0.00,-0.14,0.97
-0.00,-0.12,0.94
-0.01,-0.13,1.02
0.18,-0.22,1.46
0.09,-0.33,2.05
0.32,-0.51,2.05
0.60,-0.66,2.05
0.36,-0.50,1.66
0.04,-0.42,1.10
-0.15,-0.33,0.67
-0.27,-0.05,0.17
-0.38,0.15,-0.15
-0.31,0.30,-0.23
-0.20,0.32,-0.10
-0.18,0.19,0.07
-0.12,-0.00,0.14
0.16,-0.09,0.23
0.50,-0.15,0.37
0.63,-0.20,0.46
0.56,-0.23,0.48
0.43,-0.19,0.60
0.25,-0.16,0.79
-0.17,-0.33,0.89
-0.78,-0.73,1.16
-0.95,-0.80,1.36
-0.89,-0.67,1.37
-0.88,-0.70,1.41
-0.79,-0.60,1.31
-0.72,-0.47,1.13
-0.70,-0.42,0.93
-0.78,-0.31,0.77
-0.87,-0.41,0.72
-0.76,-0.41,0.65
-0.67,-0.36,0.64
-0.20,-0.62,0.76
0.39,-0.80,0.72
1.19,-0.82,0.87
1.23,-0.63,0.79
0.93,-0.60,0.71
0.67,-0.47,0.70
0.50,-0.38,0.70
0.41,-0.38,0.81
0.30,-0.33,0.87
0.12,-0.39,0.96
0.13,-0.40,0.92
