-0.27,-0.01,0.73
-0.16,-0.04,0.74
-0.13,-0.14,0.85
-0.06,-0.22,0.95
0.00,-0.27,1.01
0.11,-0.28,1.03
0.38,-0.29,1.13
0.48,-0.30,1.19
0.34,-0.30,1.13
0.17,-0.26,1.04
0.01,-0.21,0.96
-0.21,-0.16,0.85
-0.35,-0.11,0.78
-0.53,-0.08,0.75
-0.54,-0.09,0.73
-0.55,-0.07,0.70
-0.49,-0.09,0.70
-0.35,-0.14,0.75
-0.22,-0.19,0.85
0.05,-0.25,1.00
0.23,-0.29,1.07
0.25,-0.32,1.11
0.40,-0.35,1.15
0.44,-0.33,1.12
0.25,-0.27,1.04
0.15,-0.25,0.98
0.03,-0.19,0.89
-0.14,-0.17,0.85
-0.28,-0.16,0.82
-0.41,-0.13,0.77
-0.46,-0.12,0.74
-0.43,-0.13,0.74
-0.35,-0.17,0.78
-0.28,-0.19,0.82
-0.18,-0.24,0.88
-0.05,-0.25,0.93
0.08,-0.25,0.98
0.34,-0.31,1.09
0.43,-0.33,1.15
0.39,-0.35,1.16
0.32,-0.34,1.09
0.20,-0.31,1.02
0.06,-0.24,0.92
-0.05,-0.18,0.82
-0.17,-0.12,0.76
-0.28,-0.11,0.73
-0.37,-0.12,0.74
-0.42,-0.10,0.74
-0.39,-0.14,0.77
-0.34,-0.16,0.80
