-0.02,-0.20,0.90
-0.01,-0.20,0.89
0.01,-0.21,0.90
0.00,-0.20,0.90
0.00,-0.19,0.88
-0.07,-0.18,0.92
-0.14,-0.21,1.60
0.16,-0.74,2.05
0.34,-1.11,2.05
0.18,-1.23,2.05
-0.04,-0.73,0.88
-0.17,-0.08,-0.13
0.03,0.21,-0.26
-0.04,0.57,-0.59
-0.11,0.75,-0.40
-0.56,0.23,0.29
-0.73,-0.11,0.90
-1.03,-0.27,0.98
-1.27,-0.30,0.95
-0.49,-0.11,0.95
0.42,-0.04,0.83
0.86,-0.05,0.79
0.88,-0.16,0.91
0.70,-0.10,0.85
0.66,0.04,0.77
0.57,0.03,0.77
0.41,-0.04,0.70
0.22,0.03,0.47
0.06,0.14,0.06
0.02,0.29,-0.30
0.18,0.59,-0.41
0.09,0.24,0.02
0.25,-0.46,1.11
0.39,-1.00,2.05
0.49,-1.05,2.05
0.65,-0.74,1.97
0.42,-0.26,1.44
0.31,-0.33,1.33
0.50,-0.36,1.16
0.79,-0.28,0.92
0.87,-0.24,0.66
1.18,-0.24,0.53
1.39,-0.45,0.53
1.04,-0.52,0.54
0.34,-0.18,0.71
-0.45,-0.18,0.78
-0.63,-0.46,1.03
-0.79,-0.48,1.02
-0.25,-0.04,1.03
-0.38,-0.30,1.14
